Titolo,Autore,ISBN,Editore,Data_Fatturazione,Giacenza,Vendute_Ultimi_30_Giorni,Prezzo_Copertina,Sconto_Libreria
Se questo e un uomo,Primo Levi,9788806189358,Einaudi,28/10/2023,3,0,12.00,3.60
La tregua,Primo Levi,9788806189365,Einaudi,08/03/2024,5,5,12.00,3.60
Lessico famigliare,Natalia Ginzburg,9788806219451,Einaudi,08/09/2023,4,0,12.00,3.60
Le citta invisibili,Italo Calvino,9788806219468,Einaudi,02/02/2024,7,7,13.00,3.90
Il barone rampante,Italo Calvino,9788806219475,Einaudi,14/02/2024,7,7,12.00,3.60
Se una notte d inverno un viaggiatore,Italo Calvino,9788806219482,Einaudi,26/03/2024,5,3,13.00,3.90
La luna e i falo,Cesare Pavese,9788806219499,Einaudi,27/11/2023,3,3,12.00,3.60
La Storia,Elsa Morante,9788806219512,Einaudi,24/09/2023,3,0,22.00,6.60
L isola di Arturo,Elsa Morante,9788806219529,Einaudi,25/03/2024,4,3,14.00,4.20
Cristo si e fermato a Eboli,Carlo Levi,9788806219543,Einaudi,02/10/2023,11,7,13.00,3.90
Resto qui,Marco Balzano,9788806246358,Einaudi,31/03/2024,6,3,17.00,5.10
Come d aria,Ada d Adamo,9788806246372,Einaudi,28/02/2024,4,2,17.00,5.10
Testimone inconsapevole,Gianrico Carofiglio,9788806246402,Einaudi,21/09/2023,7,5,17.00,5.10
Ad occhi chiusi,Gianrico Carofiglio,9788806246419,Einaudi,26/12/2023,5,3,17.00,5.10
Le otto montagne,Paolo Cognetti,9788806246433,Einaudi,24/10/2023,4,3,18.00,5.40
Il ragazzo selvatico,Paolo Cognetti,9788806246440,Einaudi,03/02/2024,7,1,16.00,4.80
Qualcosa di scritto,Emanuele Trevi,9788806246426,Einaudi,28/12/2023,3,2,18.00,5.40
Un estate fredda,Gianrico Carofiglio,9788806246389,Einaudi,23/02/2024,7,2,17.00,5.10
Il Gattopardo,Giuseppe Tomasi di Lampedusa,9788807902710,Feltrinelli,29/10/2023,9,3,14.00,4.20
Cent anni di solitudine,Gabriel Garcia Marquez,9788807902727,Feltrinelli,12/12/2023,4,4,16.00,4.80
La metamorfosi,Franz Kafka,9788807902734,Feltrinelli,25/10/2023,8,3,10.00,3.00
Il processo,Franz Kafka,9788807902741,Feltrinelli,15/02/2024,9,4,11.00,3.30
La coscienza di Zeno,Italo Svevo,9788807902758,Feltrinelli,12/02/2024,11,6,14.00,4.20
Siddharta,Hermann Hesse,9788807902772,Feltrinelli,07/11/2023,11,4,13.00,3.90
Storia di una ladra di libri,Markus Zusak,9788807902789,Feltrinelli,09/03/2024,6,4,18.00,5.40
L alchimista,Paulo Coelho,9788807902796,Feltrinelli,07/11/2023,12,7,15.00,4.50
Cambiare l acqua ai fiori,Valerie Perrin,9788807032509,Feltrinelli,12/12/2023,10,7,20.00,6.00
Tre,Valerie Perrin,9788807032493,Feltrinelli,06/10/2023,9,4,22.00,6.60
Le memorie di Adriano,Marguerite Yourcenar,9788845900112,Adelphi,10/10/2023,1,0,18.00,5.40
L opera al nero,Marguerite Yourcenar,9788845900129,Adelphi,08/12/2023,5,1,18.00,5.40
Il lupo della steppa,Hermann Hesse,9788845900136,Adelphi,20/01/2024,6,3,14.00,4.20
Il deserto dei Tartari,Dino Buzzati,9788845900198,Adelphi,15/03/2024,1,1,14.00,4.20
Un amore,Dino Buzzati,9788845900204,Adelphi,26/12/2023,4,0,14.00,4.20
Uno nessuno e centomila,Luigi Pirandello,9788845900174,Adelphi,14/03/2024,8,7,14.00,4.20
Il fu Mattia Pascal,Luigi Pirandello,9788845900181,Adelphi,16/11/2023,5,5,14.00,4.20
Lolita,Vladimir Nabokov,9788845900242,Adelphi,05/12/2023,3,2,16.00,4.80
Il piu grande uomo scimmia del Pleistocene,Roy Lewis,9788845900235,Adelphi,01/02/2024,8,1,12.00,3.60
Memorie dal sottosuolo,Fedor Dostoevskij,9788845900167,Adelphi,01/11/2023,3,1,13.00,3.90
La forma dell acqua,Andrea Camilleri,9788838930232,Sellerio,24/01/2024,4,4,13.00,3.90
Il cane di terracotta,Andrea Camilleri,9788838930249,Sellerio,06/03/2024,5,3,13.00,3.90
Il ladro di merendine,Andrea Camilleri,9788838930256,Sellerio,13/03/2024,11,3,13.00,3.90
La voce del violino,Andrea Camilleri,9788838930263,Sellerio,03/10/2023,12,4,13.00,3.90
La gita a Tindari,Andrea Camilleri,9788838930270,Sellerio,13/10/2023,11,7,13.00,3.90
La pazienza del ragno,Andrea Camilleri,9788838930287,Sellerio,03/02/2024,8,7,13.00,3.90
Il giro di boa,Andrea Camilleri,9788838930294,Sellerio,17/01/2024,10,4,13.00,3.90
La luna di carta,Andrea Camilleri,9788838930300,Sellerio,19/11/2023,7,7,13.00,3.90
L eta del dubbio,Andrea Camilleri,9788838930317,Sellerio,14/02/2024,10,8,13.00,3.90
La danza del gabbiano,Andrea Camilleri,9788838930324,Sellerio,11/01/2024,9,6,13.00,3.90
Gomorra,Roberto Saviano,9788804575351,Mondadori,06/09/2023,1,1,14.00,4.20
La solitudine dei numeri primi,Paolo Giordano,9788804575368,Mondadori,19/09/2023,2,0,18.00,5.40
ZeroZeroZero,Roberto Saviano,9788804575375,Mondadori,24/11/2023,1,0,20.00,6.00
Il cacciatore di aquiloni,Khaled Hosseini,9788804575382,Mondadori,19/02/2024,7,5,18.00,5.40
Mille splendidi soli,Khaled Hosseini,9788804575399,Mondadori,02/11/2023,7,4,18.00,5.40
La strada,Cormac McCarthy,9788804575405,Mondadori,25/09/2023,3,1,16.00,4.80
It,Stephen King,9788804575443,Mondadori,05/03/2024,5,4,22.00,6.60
L eleganza del riccio,Muriel Barbery,9788804575450,Mondadori,13/12/2023,5,3,18.00,5.40
Il dottor Zivago,Boris Pasternak,9788804575481,Mondadori,20/10/2023,2,2,22.00,6.60
L amica geniale,Elena Ferrante,9788876416347,E/O,24/12/2023,7,7,19.00,5.70
Storia del nuovo cognome,Elena Ferrante,9788876416354,E/O,17/10/2023,6,6,20.00,6.00
Storia di chi fugge e di chi resta,Elena Ferrante,9788876416361,E/O,03/11/2023,8,6,20.00,6.00
Storia della bambina perduta,Elena Ferrante,9788876416378,E/O,25/03/2024,5,5,20.00,6.00
I giorni dell abbandono,Elena Ferrante,9788876416385,E/O,13/09/2023,12,3,17.00,5.10
La vita bugiarda degli adulti,Elena Ferrante,9788876416392,E/O,24/09/2023,12,3,19.00,5.70
Infinite Jest,David Foster Wallace,9788875218451,Minimum Fax,14/12/2023,2,0,22.00,6.60
La barzelletta ha finito,David Foster Wallace,9788875218468,Minimum Fax,16/09/2023,2,1,18.00,5.40
Underworld,Don DeLillo,9788875218482,Minimum Fax,07/11/2023,4,4,24.00,7.20
Libra,Don DeLillo,9788875218499,Minimum Fax,18/12/2023,4,1,20.00,6.00
La verita sul caso Harry Quebert,Joel Dicker,9788875218505,Minimum Fax,10/10/2023,5,1,20.00,6.00
HHhH,Laurent Binet,9788875218529,Minimum Fax,27/01/2024,7,3,18.00,5.40
Mi chiamo Rosso,Orhan Pamuk,9788870912234,Iperborea,13/09/2023,3,0,22.00,6.60
Neve,Orhan Pamuk,9788870912241,Iperborea,15/09/2023,8,2,20.00,6.00
Il museo dell innocenza,Orhan Pamuk,9788870912258,Iperborea,31/01/2024,2,0,22.00,6.60
La signorina Smilla e il senso della neve,Peter Hoeg,9788870912289,Iperborea,01/10/2023,7,6,20.00,6.00
Tutto cio che e solido,David Szalay,9788870912272,Iperborea,06/02/2024,6,1,18.00,5.40
Il cardellino,Donna Tartt,9788854509436,Neri Pozza,06/11/2023,12,5,22.00,6.60
Dio di illusioni,Donna Tartt,9788854509443,Neri Pozza,11/12/2023,3,3,18.00,5.40
Lincoln nel Bardo,George Saunders,9788854509467,Neri Pozza,20/11/2023,8,6,20.00,6.00
I dieci amori di Nishino,Hiromi Kawakami,9788854509474,Neri Pozza,07/02/2024,2,2,16.00,4.80
Il cielo e dei violenti,Flannery O Connor,9788854509481,Neri Pozza,08/01/2024,2,2,16.00,4.80
Cosmos,Carl Sagan,9788842819356,Il Saggiatore,02/11/2023,3,0,28.00,8.40
Il mondo di Sofia,Jostein Gaarder,9788842819363,Il Saggiatore,18/01/2024,2,1,20.00,6.00
Breve storia del tempo,Stephen Hawking,9788842819370,Il Saggiatore,18/02/2024,5,0,18.00,5.40
Quando Nietzsche piansi,Irvin D. Yalom,9788842819387,Il Saggiatore,05/10/2023,3,0,18.00,5.40
Algoritmi di distruzione di massa,Cathy O Neil,9788842819425,Il Saggiatore,09/11/2023,1,0,20.00,6.00
Le origini del totalitarismo,Hannah Arendt,9788833923463,Bollati Boringhieri,23/10/2023,2,1,28.00,8.40
L uomo in cerca di senso,Viktor Frankl,9788833923470,Bollati Boringhieri,04/11/2023,3,1,15.00,4.50
Massa e potere,Elias Canetti,9788833923487,Bollati Boringhieri,10/02/2024,1,0,24.00,7.20
Il nome della rosa,Umberto Eco,9788845292613,Bompiani,16/03/2024,2,2,18.00,5.40
Il pendolo di Foucault,Umberto Eco,9788845292620,Bompiani,08/03/2024,8,4,20.00,6.00
Baudolino,Umberto Eco,9788845292644,Bompiani,29/09/2023,6,1,22.00,6.60
M. Il figlio del secolo,Antonio Scurati,9788834600597,La Nave di Teseo,09/10/2023,5,5,22.00,6.60
M. L uomo della provvidenza,Antonio Scurati,9788834600603,La Nave di Teseo,04/12/2023,12,3,22.00,6.60
M. Il tempo del destino,Antonio Scurati,9788834600610,La Nave di Teseo,20/12/2023,12,4,22.00,6.60
Norwegian Wood,Haruki Murakami,9788823516342,Guanda,18/11/2023,6,3,18.00,5.40
Kafka sulla spiaggia,Haruki Murakami,9788823516359,Guanda,01/12/2023,9,3,20.00,6.00
L uccello che girava le viti del mondo,Haruki Murakami,9788823516366,Guanda,03/11/2023,7,7,20.00,6.00
1Q84,Haruki Murakami,9788823516380,Guanda,18/03/2024,5,5,28.00,8.40
A sud del confine a ovest del sole,Haruki Murakami,9788823516397,Guanda,06/02/2024,12,6,17.00,5.10
