Titolo,Autore,ISBN,Editore,Data_Fatturazione,Giacenza,Vendute_Ultimi_30_Giorni,Prezzo_Copertina,Sconto_Libreria
Ada o ardore,Vladimir Nabokov,9788845900266,Adelphi,13/12/2023,1,1,22.00,6.60
Fuoco pallido,Vladimir Nabokov,9788845900259,Adelphi,20/12/2023,3,1,16.00,4.80
I dolori del giovane Werther,Johann Wolfgang Goethe,9788845900303,Adelphi,01/04/2024,6,5,12.00,3.60
Il deserto dei Tartari,Dino Buzzati,9788845900198,Adelphi,15/03/2024,1,1,14.00,4.20
Il grande Gatsby,Francis Scott Fitzgerald,9788845900273,Adelphi,01/06/2024,2,2,14.00,4.20
Il lupo della steppa,Hermann Hesse,9788845900136,Adelphi,20/01/2024,1,1,14.00,4.20
Il piu grande uomo scimmia del Pleistocene,Roy Lewis,9788845900235,Adelphi,01/02/2024,3,1,12.00,3.60
L opera al nero,Marguerite Yourcenar,9788845900129,Adelphi,08/12/2023,1,1,18.00,5.40
Le affinita elettive,Johann Wolfgang Goethe,9788845900297,Adelphi,14/07/2024,5,3,16.00,4.80
Le memorie di Adriano,Marguerite Yourcenar,9788845900112,Adelphi,10/10/2023,1,0,18.00,5.40
Lolita,Vladimir Nabokov,9788845900242,Adelphi,05/12/2023,1,1,16.00,4.80
Memorie dal sottosuolo,Fedor Dostoevskij,9788845900167,Adelphi,01/11/2023,1,1,13.00,3.90
Tenera e la notte,Francis Scott Fitzgerald,9788845900280,Adelphi,19/06/2024,3,2,16.00,4.80
Un amore,Dino Buzzati,9788845900204,Adelphi,26/12/2023,4,1,14.00,4.20
L uomo in cerca di senso,Viktor Frankl,9788833923470,Bollati Boringhieri,04/11/2023,1,1,15.00,4.50
La mente del bambino,Maria Montessori,9788833923456,Bollati Boringhieri,15/03/2024,1,1,20.00,6.00
Le origini del totalitarismo,Hannah Arendt,9788833923463,Bollati Boringhieri,23/10/2023,1,0,28.00,8.40
Massa e potere,Elias Canetti,9788833923487,Bollati Boringhieri,10/02/2024,1,0,24.00,7.20
Baudolino,Umberto Eco,9788845292644,Bompiani,29/09/2023,3,3,22.00,6.60
Il nome della rosa,Umberto Eco,9788845292613,Bompiani,16/03/2024,1,1,18.00,5.40
Il vecchio e il mare,Ernest Hemingway,9788845292651,Bompiani,17/05/2024,4,1,12.00,3.60
L amica geniale,Elena Ferrante,9788876416347,E/O,24/12/2023,1,1,19.00,5.70
Storia del nuovo cognome,Elena Ferrante,9788876416354,E/O,17/10/2023,1,1,20.00,6.00
Storia di chi fugge e di chi resta,Elena Ferrante,9788876416361,E/O,03/11/2023,1,1,20.00,6.00
Ad occhi chiusi,Gianrico Carofiglio,9788806246419,Einaudi,26/12/2023,1,1,17.00,5.10
Anna Karenina,Lev Tolstoj,9788806246525,Einaudi,26/09/2024,3,1,22.00,6.60
Come d aria,Ada d Adamo,9788806246372,Einaudi,28/02/2024,1,1,17.00,5.10
Cristo si e fermato a Eboli,Carlo Levi,9788806219543,Einaudi,02/10/2023,1,1,13.00,3.90
Delitto e castigo,Fedor Dostoevskij,9788806246556,Einaudi,12/08/2024,4,0,16.00,4.80
Ferito a morte,Raffaele La Capria,9788806246563,Einaudi,08/09/2024,8,6,16.00,4.80
Guerra e pace,Lev Tolstoj,9788806246532,Einaudi,02/05/2024,4,4,28.00,8.40
I fratelli Karamazov,Fedor Dostoevskij,9788806246549,Einaudi,09/04/2024,5,3,24.00,7.20
I miei stupidi intenti,Bernardo Zannoni,9788806246594,Einaudi,11/08/2024,2,2,18.00,5.40
Il ragazzo selvatico,Paolo Cognetti,9788806246440,Einaudi,03/02/2024,1,1,16.00,4.80
Il sentiero dei nidi di ragno,Italo Calvino,9788806246587,Einaudi,09/05/2024,5,5,13.00,3.90
L avventura di un fotografo,Italo Calvino,9788806246570,Einaudi,30/04/2024,2,2,12.00,3.60
L isola di Arturo,Elsa Morante,9788806219529,Einaudi,25/03/2024,1,1,14.00,4.20
La Storia,Elsa Morante,9788806219512,Einaudi,24/09/2023,3,0,22.00,6.60
La luna e i falo,Cesare Pavese,9788806219499,Einaudi,27/11/2023,1,1,12.00,3.60
La macchia umana,Philip Roth,9788806246488,Einaudi,11/04/2024,4,4,20.00,6.00
La tregua,Primo Levi,9788806189365,Einaudi,08/03/2024,1,1,12.00,3.60
Lamento di Portnoy,Philip Roth,9788806246495,Einaudi,19/08/2024,7,4,18.00,5.40
Le citta invisibili,Italo Calvino,9788806219468,Einaudi,02/02/2024,1,1,13.00,3.90
Le correzioni,Jonathan Franzen,9788806246501,Einaudi,24/05/2024,6,1,22.00,6.60
