Titolo,Autore,ISBN,Editore,Data_Fatturazione,Giacenza,Vendute_Ultimi_30_Giorni,Prezzo_Copertina,Sconto_Libreria
Il nome della rosa,Umberto Eco,9788845292613,Bompiani,15/03/2022,8,0,19.00,5.70
Il pendolo di Foucault,Umberto Eco,9788845232152,Bompiani,20/04/2022,6,0,18.00,5.40
L'isola del giorno prima,Umberto Eco,9788845261459,Bompiani,10/06/2022,5,0,17.00,5.10
Baudolino,Umberto Eco,9788845258466,Bompiani,15/07/2022,5,0,19.00,5.70
Se questo è un uomo,Primo Levi,9788806219390,Einaudi,20/01/2022,8,1,13.50,4.05
Le cosmicomiche,Italo Calvino,9788804668367,Einaudi,15/02/2022,7,1,13.00,3.90
La luna e i falò,Cesare Pavese,9788806220500,Einaudi,10/03/2022,6,0,12.50,3.75
La coscienza di Zeno,Italo Svevo,9788804668416,Einaudi,20/04/2022,5,1,13.00,3.90
Lessico famigliare,Natalia Ginzburg,9788806220495,Einaudi,15/05/2022,4,0,12.00,3.60
Dissolvenze,Donatella Di Pietrantonio,9788806258001,Einaudi,20/06/2022,4,0,17.00,5.10
Gomorra,Roberto Saviano,9788817003735,Mondadori,10/01/2022,9,0,14.00,4.20
I promessi sposi,Alessandro Manzoni,9788811360353,Mondadori,15/02/2022,8,0,12.00,3.60
Cent'anni di solitudine,Gabriel García Márquez,9788806226480,Mondadori,20/03/2022,6,0,14.00,4.20
Il corridoio del tempo,Marco Marangoni,9788804198765,Mondadori,10/04/2022,3,1,16.00,4.80
Il gattopardo,Giuseppe Tomasi di Lampedusa,9788845274893,Feltrinelli,15/05/2022,7,0,14.00,4.20
Sostiene Pereira,Antonio Tabucchi,9788807883866,Feltrinelli,20/06/2022,7,0,13.00,3.90
Baol,Stefano Benni,9788807880018,Feltrinelli,10/07/2022,6,0,11.00,3.30
Non ti muovere,Margaret Mazzantini,9788807013560,Feltrinelli,15/08/2022,3,1,15.00,4.50
L'amica geniale,Elena Ferrante,9788866325772,e/o,20/09/2022,8,1,19.00,5.70
Storia di chi fugge,Elena Ferrante,9788866325789,e/o,10/10/2022,8,1,19.00,5.70
La figlia oscura,Elena Ferrante,9788876412257,e/o,15/11/2022,4,1,14.00,4.20
La variante di Lüneburg,Paolo Maurensig,9788845285745,Adelphi,20/12/2022,10,1,13.00,3.90
Il deserto dei Tartari,Dino Buzzati,9788845225390,Adelphi,10/01/2023,10,1,12.00,3.60
Una vita violenta,Pier Paolo Pasolini,9788845240003,Adelphi,15/02/2023,6,1,14.00,4.20
Il tamburo di latta,Günter Grass,9788845271731,Adelphi,20/03/2023,7,1,16.00,4.80
Il giorno della civetta,Leonardo Sciascia,9788845265716,Adelphi,10/04/2023,7,0,12.00,3.60
La forma dell'acqua,Andrea Camilleri,9788838922343,Sellerio,01/03/2024,4,1,14.00,4.20
Il cane di terracotta,Andrea Camilleri,9788838923272,Sellerio,01/03/2024,3,1,14.00,4.20
La voce del violino,Andrea Camilleri,9788838924774,Sellerio,01/03/2024,3,1,13.50,4.05
